(대출기간: 2024.08.01. ~ 2025.07.30.),,,,,,,
순위,등록번호,서명,저자,발행자,청구기호,대출횟수,
37.0,QC0000046475,"놓지 마 속담. 2, 동식물과 자연","신태훈, 나승훈 [공]글·그림",주니어김영사,아만388.6-신883ㄴ-2,32.0,
38.0,QC0000045947,건전지 아빠 : 전승배·강인숙 그림책,"전승배, 강인숙 [공]지음",창비,유 813.8-전57ㄱ-2,32.0,
39.0,QC0000045865,별이 빛나는 고양이 마을,고양이와 스프 원작 ; 히요 글 ; 루체 그림,다산어린이,아 813.8-고63ㅂ-2,32.0,
40.0,QC0000045710,(코믹 메이플스토리) 수학도둑 : 응용편. 94,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-94,32.0,
41.0,QC0000045267,"토깽이네 지구 구출 대작전. 6, 팬데믹의 비밀을 밝혀라!",토깽이네 원작 ; 잼스토리 글 ; 양선모 그림,위즈덤하우스,아539-토13ㅌ-6,32.0,
42.0,QC0000045057,"(곤충보다 작아진) 정브르, 생물 학습 만화. 4",정브르 원작 ; 강민희 글 ; 강신영 그림,겜툰,아495.2-정47ㅈ-4,32.0,
43.0,QC0000044209,"(최고다!) 과학 호기심 딱지. 2, 판다왕의 이상한 마트",방콕고양이 글 ; 윤현우 그림,EBS Books,아만408-과92아-2,32.0,
44.0,QC0000044199,"도그맨. 1, 도그맨, 핫도그의 침공",대브 필키 지음 ; 노은정 옮김,위즈덤하우스,아843-필878ㄷ2-1,32.0,
45.0,QC0000044194,터널에서 살아남기,박송이 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-73,32.0,
46.0,QC0000044193,지하철 사고에서 살아남기. 2,곰돌이 co. 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-70,32.0,
47.0,QC0000044131,"쿠키런 어드벤처 : 가짜 버블의 정체. 49, 지구의 위대한 탐험가",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-49-2,32.0,
48.0,QC0000043811,"곤충 탐정 정브르. 2, 장수풍뎅이 유령의 의뢰",정브르 원작 ; 한바리 글 ; 도니패밀리 그림,서울문화사,아495.2-정47가-2,32.0,
49.0,QC0000043794,"놓지 마 과학!. 18, 악마견의 숨겨진 진실","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ-18,32.0,
50.0,QC0000043124,수해에서 살아남기,박송이 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-76,32.0,
51.0,QC0000042170,오늘의 영상툰 : 두근두근 알쏭달쏭 심쿵 비밀 이야기. 2,오늘의 영상툰 원작 ; 전영신 구성,서울문화사,아만813.8-오197ㅇ-2,32.0,
52.0,QC0000041834,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 35, 마지막 기회 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-35-2,32.0,
53.0,QC0000040745,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 43, 악몽의 서커스 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-43,32.0,
54.0,QC0000039790,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 5,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,아만408-흔92ㅎ-5,32.0,
55.0,QC0000036090,"(신비아파트) 한자 귀신. 12, 영혼이 모이는 동굴",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-12,32.0,
56.0,QC0000035943,쿠키런 스포츠 과학 상식,임우영 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-22,32.0,
57.0,QC0000035852,"놓지 마 과학!. 15, 사라진 마이아사우라의 호박 장식을 찾아라","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ-15,32.0,
58.0,QC0000033909,"브레드 이발소. 4, 위기의 베이커리타운",몬스터 스튜디오 원작·글·그림,한솔수북,아813.8-몬57ㅂ-4,32.0,
59.0,QC0000029269,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 4, 미국","백종원, 남지은 [공]지음 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-4,32.0,
60.0,QC0000026773,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 1, 일본","백종원, 얌이 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-1,32.0,
61.0,QC0000013252,자연사 박물관에서 살아남기. 2,곰돌이 co. 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-32,32.0,
62.0,QC0000011667,식물 세계에서 살아남기 = Survival in plant world. 2,달콤팩토리 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-42,32.0,
63.0,QC0000007756,쿠키런 개그 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-1,32.0,
64.0,QC0000011820,심해에서 살아남기,곰돌이 co. 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-30,31.0,
65.0,QC0000048120,산에서 살아남기,코믹컴 글 ; 문정후 그림,코믹컴,아만408-서42ㅋ2-10,31.0,
66.0,QC0000047170,"Go Go 카카오프렌즈: 자연탐사. 5, 북극 툰드라",조주희 글 ; 김정한 그림,아울북,아만472.5-조76ㄱ-5,31.0,
67.0,QC0000047113,(타키 포오)얼렁뚱땅 상식스쿨 : 초등 상식 학습 스토리북. 3,캐릭온TV 원작 ; 김언정 글 ; 조수현 그림,대원키즈,아031-캐298ㅇ-3,31.0,
68.0,QC0000047059,"(무한의 계단)수학여행. 1, 비지니스맨과 돌멩이의 비밀",최재훈 글 ; 김기수 그림,서울문화사,아만410-최73ㅅ-1,31.0,
69.0,QC0000046831,"비밀요원 레너드. 19, 설문대할망을 구하라!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-19,31.0,
70.0,QC0000046724,"비밀요원 레너드. 18, 좀비가 나타났다!",박설연 글 ; 김덕영 그림,아울북,아 813.8-박54ㅂ-18,31.0,
71.0,QC0000046690,(에그박사의) 역대급 사파리 : 충격 주의! 별별 능력 생물도감,에그박사 원작 ; 예영 글 ; 유남영 그림,다락원,아490-에17아,31.0,
72.0,QC0000045926,"거짓말이 뿡뿡, 고무장갑! : 유설화 그림책",유설화 지음,책읽는곰,유 813.8-그298ㅊ-96-2,31.0,
73.0,QC0000045711,(코믹 메이플스토리) 수학도둑 : 응용편. 95,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-95,31.0,
74.0,QC0000045624,"(전설의 모험왕) 엉덩이 댄디. 5, 가자, 구름 왕국으로!",트롤 원작·감수 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,아이세움,아833.8-트295아-5,31.0,
75.0,QC0000045623,"(전설의 모험왕) 엉덩이 댄디. 4, 드래곤을 찾아서!",트롤 원작·감수 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,아이세움,아833.8-트295아-4,31.0,
76.0,QC0000044978,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 34, 로마 왕국의 빛과 그림자",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-34,31.0,
77.0,QC0000044907,"쿠키런 어드벤처 : 쿠키들의 세계 역사 탐험 : 태풍이 부는 날. 55, 최악의 기후 재난",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-55,31.0,
78.0,QC0000044015,"(흔한남매) 과학 탐험대. 6, 물리 2","흔한남매 원작 ; 이현진, 닥터 스코 [공]글 ; 김덕영 그림",주니어김영사,아만 404-흔92ㄱ-6,31.0,
79.0,QC0000041501,(흔한남매) 별난 방탈출. 4,흔한남매 원작 ; 김언정 글 ; 차차 그림,아이세움,아만 691-흔92ㅂ-4,31.0,
80.0,QC0000041407,"(손오공의 한자 대탐험) 마법천자문. 54, 처음으로 찾아내다! 발견(發見)","유대영 글 ; 박상영, 정수영 [공]그림",아울북,아만711.47-마44ㅇ-54,31.0,
81.0,QC0000040505,"(무엇이든 해결단) 허팝 연구소. 4, 우주괴물 찾기 대소동",라곰씨 글 ; 차차 그림,라이카미,아404-라15ㅎ-4,31.0,
82.0,QC0000039825,"(전설의 모험왕) 엉덩이 댄디. 2, 해적의 보물을 찾아라!",트롤 원작·감수;하루하라 로빈슨 글·구성;기쿠치 아키히로 그림;김정화 옮김,아이세움:미래엔,아833.8-트295아-2,31.0,
83.0,QC0000036144,"(손오공의 한자 대탐험) 마법천자문. 49, 마주 보는 그림자! 그림자 영(影)",유대영 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-49,31.0,
84.0,QC0000036143,"(손오공의 한자 대탐험) 마법천자문. 48, 늘 생각하다! 생각 념(念)",김현수 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-48-2,31.0,
85.0,QC0000036132,"(손오공의 한자 대탐험) 마법천자문. 37, 펼쳐라! 펼 전(展)",올댓스토리 글 ; 김성재 윤색 ; 홍거북 그림,아울북,아만711.47-마44ㅇ2-37,31.0,
86.0,QC0000036088,"(신비아파트) 한자 귀신. 10, 팔척귀의 함정",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-10,31.0,
87.0,QC0000036083,"(신비아파트) 한자 귀신. 5, 의문의 전학생",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-5,31.0,
88.0,QC0000036039,(코믹 메이플스토리) 수학도둑 : 심화편. 45,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-45,31.0,
89.0,QC0000035969,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 13, 신비한 섬 편",김강현 글 ; 김기수 그림,서울문화사,아만 372.42-김12ㅋ-13=2,31.0,
90.0,QC0000035926,쿠키런 폭소 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-5-2,31.0,
91.0,QC0000035914,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 40, 다낭 - 베트남",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-40-2,31.0,
92.0,QC0000035907,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 33, 이스탄불 - 터키",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-33-2,31.0,
93.0,QC0000035904,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 30, 평양 - 북한",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-30-2,31.0,
94.0,QC0000035887,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 13, 시드니",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-13-2,31.0,
95.0,QC0000035885,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 11, 프라하",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-11-2,31.0,
96.0,QC0000035884,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 10, 마드리드",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-10-2,31.0,
97.0,QC0000035882,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 8, 워싱턴 D.C",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-8-2,31.0,
98.0,QC0000035878,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 4, 뉴욕",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-4-2,31.0,
99.0,QC0000035850,"놓지 마 과학!. 13, 정신이 미세 먼지에 정신 놓다","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ-13-2,31.0,
100.0,QC0000035632,흔한남매. 8,흔한남매 원작;백난도 글;유난희 그림,아이세움:미래엔,아만657.1-흔92ㅎ-8,31.0,
101.0,QC0000034794,"브레드 이발소. 5, 웃음 가득 브레드의 일상",몬스터스튜디오 원작 ; 임광천 구성,형설아이,아만813.8-몬57바-5,31.0,
102.0,QC0000030393,흔한남매. 3,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-3,31.0,
103.0,QC0000029778,그리스 로마 신화:만화로 읽는 초등 인문학,박시연 글;최우빈 그림,아울북:북이십일,아만219-박58ㄱ-17,31.0,
104.0,QC0000026774,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 2, 중국","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-2,31.0,
105.0,QC0000026112,알레르기에서 살아남기. 1,곰돌이 co. 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-62,31.0,
106.0,QC0000019276,쿠키런 빅스타 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-18,31.0,
107.0,QC0000011668,식물 세계에서 살아남기 = Survival in plant world. 1,달콤팩토리 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-41,30.0,
108.0,QC0000047501,"내일은 실험왕 : 본격 대결 과학실험 만화 시즌 2. 2-8, 우주 엘리베이터와 정지 궤도",스토리 a. 글 ; 홍종현 그림,아이세움,아만407-내68ㅇ-2-8,30.0,
109.0,QC0000047169,"Go Go 카카오프렌즈: 자연탐사. 1, 아마존 열대우림",조주희 글 ; 김정한 그림,아울북,아만472.5-조76ㄱ-1,30.0,
110.0,QC0000047158,"(흔한남매)별난 세계 여행. 1, 세계 유명 박물관",흔한남매 원작 ; 박시연 글 ; 정주연 그림,아이세움,아980.24-흔92ㅂ-1,30.0,
111.0,QC0000047101,(쿠키런 킹덤)파르페디아 아카데미. 3,권용찬 글 ; 임해봉 그림,아이세움,아813.8-권65ㅍ-3,30.0,
112.0,QC0000047100,(쿠키런 킹덤)파르페디아 아카데미. 2,권용찬 글 ; 임해봉 그림,아이세움,아813.8-권65ㅍ-2,30.0,
113.0,QC0000047048,"(물리박사 김상욱의)수상한 연구실. 3, 원자: 축제는 시작되었다!",김하연 글 ; 정순규 그림,아울북,아420-김92ㅅ-3,30.0,
114.0,QC0000047010,"(설민석의)그리스 로마 신화 대모험. 3, 신들의 왕 제우스","설민석, 남이담 [공]글 ; 이미나 만화",단꿈아이,아만219.2-설38ㄱ-3,30.0,
115.0,QC0000046837,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 3, 이탈리아","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-3,30.0,
116.0,QC0000046546,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 21, 신이 선택한 인간, 헤라클레스의 탄생",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-21,30.0,
117.0,QC0000046497,브레드 이발소 : 천재이발사 등장. 1,몬스터 스튜디오 원작·그림,한솔수북,아813.8-몬57ㅂ-1,30.0,
118.0,QC0000045892,마음먹기,자현 글 ; 차영경 그림,달그림:노란돼지,아 813.8-자94ㅁ-2,30.0,
119.0,QC0000045880,잘못 뽑은 반장,이은재 글 ; 서영경 그림,주니어김영사,아 808.9-중92ㅈ-13-2,30.0,
120.0,QC0000045850,라면을 먹으면 숲이 사라져,최원형 글 ; 이시누 그림,책읽는곰,아 539.9-최66ㄹ-2,30.0,
121.0,QC0000045713,(코믹 메이플스토리) 수학도둑 : 응용편. 97,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-97,30.0,
122.0,QC0000045523,"라바 지구 수비대. 4, 수질 오염","김정욱 글 ; 김정한, 장호찬 [공]그림",다산어린이,아539.9-라42ㄷ-4,30.0,
123.0,QC0000045351,"브레드 이발소. 9, 베이커리타운의 복수극",몬스터스튜디오 원작·글·그림,한솔수북,아813.8-몬57ㅂ-9,30.0,
124.0,QC0000045294,마씨 할머니의 달꿀 송편,권민조 글·그림,호랑이꿈,유813.8-호292ㅎ-1,30.0,
125.0,QC0000045056,"(곤충보다 작아진) 정브르, 생물 학습 만화. 3",정브르 원작 ; 강민희 글 ; 강신영 그림,겜툰,아495.2-정47ㅈ-3,30.0,
126.0,QC0000045055,(정브르의) 아마존일기 : 생생체험 자연관찰,정브르 지음,서울문화사,아472-정47ㅇ,30.0,
127.0,QC0000044969,쿠키런 놀이왕 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-17,30.0,
128.0,QC0000044609,흔한남매. 13,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-13,30.0,
129.0,QC0000044196,테마파크에서 살아남기,포도알친구 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-75,30.0,
130.0,QC0000044139,흔한남매. 12,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-12,30.0,
131.0,QC0000044065,하하 자매 떡집,김리리 글 ; 김이랑 그림,비룡소,아808.9-난82ㅂ-3-77,30.0,
132.0,QC0000044032,"(신비아파트) 한자 귀신. 6, 명령의 힘",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-6-2,30.0,
133.0,QC0000043788,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 32, 운명을 바꾼 야누스의 문",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-32,30.0,
134.0,QC0000043445,"(손오공의 한자 대탐험) 마법천자문. 55, 분명하게 정해라! 결정(決定)","유대영 글 ; 박상영, 정수영 [공]그림",아울북,아만711.47-마44ㅇ-55,30.0,
135.0,QC0000043236,"(최고다!) 과학 호기심 딱지. 5, 신통방통 종합 병원",방콕고양이 글 ; 윤현우 그림,EBS Books,아만408-과92아-5,30.0,
136.0,QC0000042969,"내일은 실험왕 : 본격 대결 과학실험 만화 시즌 2. 4, 빅데이터와 전염병",스토리 a. 글 ; 홍종현 그림,아이세움,아만407-내68ㅇ-2-4,30.0,
137.0,QC0000042314,(자연 생물 관찰 만화) 에그박사. 4,에그박사 원작 ; 박송이 글,아이세움,아만 472-에17ㅇ-4=2,30.0,
138.0,QC0000041835,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 10, 운석 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-10-2,30.0,
139.0,QC0000040933,"비밀요원 레너드. 12, 콩콩 뛰는 강시가 나타났다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-12,30.0,
140.0,QC0000040928,"비밀요원 레너드. 6, 구미호가 나타났다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-6,30.0,
141.0,QC0000040926,"비밀요원 레너드. 4, 파라오의 저주는 사실일까?",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-4,30.0,
142.0,QC0000040873,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 7, 대한민국 2","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-7,30.0,
143.0,QC0000040784,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 29, 오디세우스의 험난한 모험",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-29,30.0,
144.0,QC0000040754,(자연 생물 관찰 만화) 에그박사. 7,에그박사 원작 ; 박송이 글,아이세움,아만 472-에17ㅇ-7,30.0,
145.0,QC0000040495,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 24, 스웨덴",김미영 글 ; 김정한 그림,아울북,아만909-김38ㄱ-24,30.0,
146.0,QC0000040489,"내일은 실험왕 : 본격 대결 과학실험 만화. 49, 진화의 대결",스토리 a. 글 ; 홍종현 그림,아이세움,아만407-내68ㅇ-49,30.0,
147.0,QC0000039968,(흔한남매) 불꽃 튀는 우리말 : 초등 국어 고수 되기 프로젝트. 2,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,아만 710-흔92ㅂ-2,30.0,
148.0,QC0000039853,의사 어벤저스:어린이 의학 동화,고희정 글;조승연 그림,가나:가나문화콘텐츠,아510.4-고97ㅇ-5,30.0,
149.0,QC0000039787,"(흔한남매) 과학 탐험대. 2, 지구와 달","흔한남매 원작;이재국,이현진 [공]글;김덕영 그림",주니어김영사:김영사,아만404-흔92ㄱ-2,30.0,
150.0,QC0000039614,(흔한남매) 겨울밤 대소동,흔한남매 원작 ; 한바리 글 ; 유난희 그림,아이세움,아만 813.8-흔92ㄱ,30.0,
151.0,QC0000036071,(코믹 메이플스토리) 수학도둑 : 종합편. 77,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-77,30.0,
152.0,QC0000036041,(코믹 메이플스토리) 수학도둑 : 창의편. 47,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-47-2,30.0,
153.0,QC0000036037,(코믹 메이플스토리) 수학도둑 : 심화편. 43,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-43,30.0,
154.0,QC0000036028,(코믹 메이플스토리) 수학도둑 : 심화편. 34,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-34,30.0,
155.0,QC0000035999,(코믹 메이플스토리) 수학도둑 : 기본편. 5,송도수 글 ; 서정은 그림,서울문화사,아만410-수92ㅅ3-5,30.0,
156.0,QC0000035984,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 28, 최후의 생존자 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-28,30.0,
